,frame_id,face_id,dominant_gender,gender,dominant_age,age,age_group,max_sum_age,direct_age_group
663,134805,0,Female,"{'Male': 0.019732235923391905, 'Female': 0.9802677640766081}",30-39,"{'0-2': 0.0008793163642811563, '3-9': 0.0005538189188222193, '10-19': 0.007148353192619112, '20-29': 0.26151409077831655, '30-39': 0.3314023720959052, '40-49': 0.16860601850057994, '50-59': 0.05768395294260314, '60-69': 0.16694355065562272, 'more than 70': 0.005268526551249965}",Up to 50,"{'Over 50': 0.22989603014947582, 'Up to 50': 0.7701039698505241}",Up to 50
664,134835,0,Female,"{'Male': 0.009629754897287013, 'Female': 0.990370245102713}",30-39,"{'0-2': 0.0011141288545211717, '3-9': 0.0005960937645053564, '10-19': 0.006223854494733966, '20-29': 0.25750880425580347, '30-39': 0.4961734908179344, '40-49': 0.16925783949792408, '50-59': 0.04693527104309492, '60-69': 0.021536085495324275, 'more than 70': 0.0006544317761584959}",Up to 50,"{'Over 50': 0.06912578831457769, 'Up to 50': 0.9308742116854224}",Up to 50
665,134930,0,Female,"{'Male': 0.01809579894229485, 'Female': 0.9819042010577052}",30-39,"{'0-2': 0.0006594688120146455, '3-9': 0.0002941271865596939, '10-19': 0.006984902228061493, '20-29': 0.23423267898778735, '30-39': 0.3900737315524716, '40-49': 0.21693691396039977, '50-59': 0.1030157125160331, '60-69': 0.047539221008595464, 'more than 70': 0.0002632437480767681}",Up to 50,"{'Over 50': 0.15081817727270533, 'Up to 50': 0.8491818227272945}",Up to 50
666,134935,0,Female,"{'Male': 0.01697040748390799, 'Female': 0.983029592516092}",30-39,"{'0-2': 0.0007533527679998684, '3-9': 0.000435581806145232, '10-19': 0.008046114265814459, '20-29': 0.2096791069543444, '30-39': 0.32702842226702994, '40-49': 0.2508297519673079, '50-59': 0.10999605173038215, '60-69': 0.09284892594373566, 'more than 70': 0.00038269229724034883}",Up to 50,"{'Over 50': 0.20322766997135816, 'Up to 50': 0.7967723300286418}",Up to 50
667,134940,0,Female,"{'Male': 0.01421576443253858, 'Female': 0.9857842355674614}",40-49,"{'0-2': 0.0002620501293392461, '3-9': 0.00033052603710513736, '10-19': 0.006331233784105984, '20-29': 0.14510574050638744, '30-39': 0.2526815388651036, '40-49': 0.2681945252641809, '50-59': 0.15508954136468686, '60-69': 0.17135016780114587, 'more than 70': 0.0006546762479449598}",Up to 50,"{'Over 50': 0.3270943854137777, 'Up to 50': 0.6729056145862222}",Up to 50
668,134945,0,Female,"{'Male': 0.015001666939267189, 'Female': 0.9849983330607328}",40-49,"{'0-2': 0.00014691003093930788, '3-9': 0.00019491317789538162, '10-19': 0.004706679294094393, '20-29': 0.14982166881140746, '30-39': 0.2809113966896456, '40-49': 0.28104076282537205, '50-59': 0.15973906866523618, '60-69': 0.12298535548586938, 'more than 70': 0.0004532450195403473}",Up to 50,"{'Over 50': 0.2831776691706459, 'Up to 50': 0.7168223308293542}",Up to 50
669,134950,0,Female,"{'Male': 0.009103675679707823, 'Female': 0.9908963243202922}",40-49,"{'0-2': 0.00010161888568269574, '3-9': 0.00023469391363581025, '10-19': 0.003234882346657949, '20-29': 0.08013185158157714, '30-39': 0.2079056687312992, '40-49': 0.3141496250408555, '50-59': 0.2375857994151101, '60-69': 0.15607307250862074, 'more than 70': 0.0005827875765608496}",Up to 50,"{'Over 50': 0.39424165950029166, 'Up to 50': 0.6057583404997082}",Up to 50
670,134955,0,Female,"{'Male': 0.016336921978627017, 'Female': 0.983663078021373}",60-69,"{'0-2': 0.00043119825827941, '3-9': 0.0003895109484667499, '10-19': 0.003957853385282696, '20-29': 0.06508946579887001, '30-39': 0.12209396327359165, '40-49': 0.19428266687573512, '50-59': 0.2335948852086685, '60-69': 0.37553075735730923, 'more than 70': 0.004629698893796728}",Over 50,"{'Over 50': 0.6137553414597744, 'Up to 50': 0.3862446585402256}",Over 50
671,134960,0,Female,"{'Male': 0.011558838893373169, 'Female': 0.9884411611066268}",40-49,"{'0-2': 0.0001212776263276266, '3-9': 0.0002451559188956966, '10-19': 0.0034784875573296735, '20-29': 0.08933465995494, '30-39': 0.2079469451726695, '40-49': 0.2615879290820249, '50-59': 0.21568720799935007, '60-69': 0.22037572758862187, 'more than 70': 0.0012226090998406927}",Up to 50,"{'Over 50': 0.4372855446878126, 'Up to 50': 0.5627144553121874}",Up to 50
672,135180,0,Male,"{'Male': 0.9596825432778128, 'Female': 0.040317456722187235}",30-39,"{'0-2': 0.0002063732134889314, '3-9': 0.0005207234116766338, '10-19': 0.00234335647733645, '20-29': 0.129064980619358, '30-39': 0.4982734378545077, '40-49': 0.28565863983316914, '50-59': 0.06686906887438436, '60-69': 0.016997308436745948, 'more than 70': 6.611127933280903e-05}",Up to 50,"{'Over 50': 0.08393248859046312, 'Up to 50': 0.9160675114095369}",Up to 50
